countries,remsend,remget,ID
Afghanistan,2,28,AFG
Albania,10,21,ALB
Algeria,41,36,DZA
AmericanSamoa,9,0,ASM
Andorra,11,0,AND
Angola,8,0,AGO
AntiguaandBarbuda,11,5,ATG
Argentina,64,36,ARG
Armenia,10,35,ARM
Aruba,12,4,ABW
Australia,142,75,AUS
Austria,101,69,AUT
Azerbaijan,21,33,AZE
Bahamas,18,0,BHS
Bahrain,28,0,BHR
Bangladesh,16,54,BGD
Barbados,7,4,BRB
Belarus,22,34,BLR
Belgium,120,84,BEL
Belize,10,7,BLZ
Benin,8,18,BEN
Bermuda,15,16,BMU
Bhutan,4,8,BTN
Bolivia,28,27,BOL
BosniaandHerzegovina,6,25,BIH
Botswana,29,4,BWA
Brazil,70,52,BRA
BruneiDarussalam,18,0,BRN
Bulgaria,41,32,BGR
BurkinaFaso,8,15,BFA
Burundi,7,11,BDI
CaboVerde,9,16,CPV
Cambodia,6,23,KHM
Cameroon,17,26,CMR
Canada,153,72,CAN
CaymanIslands,15,0,CYM
CentralAfricanRepublic,14,0,CAF
Chad,6,0,TCD
ChannelIslands,4,0,CHI
Chile,56,17,CHL
China,78,145,CHN
Colombia,43,47,COL
Comoros,2,10,COM
Congo,4,40,COD
CongoRep,15,0,COG
CostaRica,38,32,CRI
CotedIvoire,11,22,CIV
Croatia,24,31,HRV
Cuba,13,0,CUB
Curacao,13,3,CUW
Cyprus,41,23,CYP
CzechRepublic,79,57,CZE
Denmark,92,70,DNK
Djibouti,1,13,DJI
Dominica,5,7,DMA
DominicanRepublic,44,37,DOM
Ecuador,47,34,ECU
Egypt,55,72,EGY
ElSalvador,14,31,SLV
EquatorialGuinea,4,0,GNQ
Eritrea,5,0,ERI
Estonia,33,35,EST
Eswatini,3,8,SWZ
Ethiopia,3,33,ETH
FaeroeIslands,5,4,FRO
Fiji,11,8,FJI
Finland,78,46,FIN
France,138,133,FRA
FrenchPolynesia,9,10,PYF
Gabon,17,4,GAB
Gambia,6,23,GMB
Georgia,17,39,GEO
Germany,123,118,DEU
Ghana,18,46,GHA
Greece,84,35,GRC
Greenland,4,0,GRL
Grenada,1,4,GRD
Guam,8,0,GUM
Guatemala,18,38,GTM
Guinea,29,13,GIN
GuineaBissau,5,13,GNB
Guyana,5,12,GUY
Haiti,15,22,HTI
Honduras,18,35,HND
HongKong,26,0,HKG
Hungary,62,62,HUN
Iceland,28,20,ISL
India,24,113,IND
Indonesia,16,55,IDN
Iran,6,32,IRN
Iraq,14,34,IRQ
Ireland,87,35,IRL
IsleofMan,5,0,IMN
Israel,56,52,ISR
Italy,129,95,ITA
Jamaica,8,27,JAM
Japan,41,76,JPN
Jordan,33,53,JOR
Kazakhstan,19,23,KAZ
Kenya,45,42,KEN
Kiribati,2,6,KIR
Nkorea,29,13,PRK
Skorea,17,67,KOR
Kuwait,4,11,KWT
KyrgyzRepublic,29,33,KGZ
LaoPDR,19,8,LAO
Latvia,4,36,LVA
Lebanon,14,75,LBN
Lesotho,62,6,LSO
Liberia,9,24,LBR
Libya,28,0,LBY
Liechtenstein,44,0,LIE
Lithuania,10,38,LTU
Luxembourg,9,44,LUX
Madagascar,44,17,MDG
Malawi,10,8,MWI
Malaysia,20,33,MYS
Maldives,26,2,MDV
Mali,4,29,MLI
Malta,16,14,MLT
MarshallIslands,12,1,MHL
Mauritania,50,12,MRT
Mauritius,3,15,MUS
Mexico,22,50,MEX
Micronesia,16,3,FSM
Moldova,10,39,MDA
Monaco,13,0,MCO
Mongolia,19,27,MNG
Montenegro,11,20,MNE
Morocco,4,49,MAR
Mozambique,30,14,MOZ
Myanmar,6,22,MMR
Namibia,124,5,NAM
Nepal,12,39,NPL
Netherlands,55,77,NLD
NewCaledonia,16,14,NCL
NewZealand,7,23,NZL
Nicaragua,16,29,NIC
Niger,13,21,NER
Nigeria,7,89,NGA
NorthMacedonia,4,20,MKD
NorthernMarianaIslands,114,0,MNP
Norway,16,50,NOR
Oman,7,12,OMN
Pakistan,4,73,PAK
Palau,43,2,PLW
Panama,12,30,PAN
PapuaNewGuinea,21,1,PNG
Paraguay,37,13,PRY
Peru,37,45,PER
Philippines,57,88,PHL
Poland,63,60,POL
Portugal,22,52,PRT
PuertoRico,29,0,PRI
Qatar,36,30,QAT
Romania,76,33,ROU
RussianFederation,10,71,RUS
Rwanda,3,23,RWA
Samoa,1,4,WSM
SanMarino,3,0,SMR
SaoTomeandPrincipe,17,3,STP
SaudiArabia,22,41,SAU
Senegal,26,46,SEN
Serbia,12,29,SRB
Seychelles,13,7,SYC
SierraLeone,15,11,SLE
Singapore,26,0,SGP
SlovakRepublic,39,38,SVK
Slovenia,42,32,SVN
SolomonIslands,10,5,SLB
Somalia,2,0,SOM
SouthAfrica,90,45,ZAF
SouthSudan,8,20,SSD
Spain,117,83,ESP
SriLanka,24,55,LKA
Sudan,10,30,SDN
Suriname,7,0,SUR
Sweden,117,72,SWE
Switzerland,128,71,CHE
Syria,2,32,SYR
Tajikistan,10,31,TJK
Tanzania,22,28,TZA
Thailand,36,65,THA
Togo,16,24,TGO
Tonga,3,8,TON
TrinidadandTobago,13,8,TTO
Tunisia,10,43,TUN
Turkey,74,38,TUR
Turkmenistan,19,0,TKM
Uganda,30,32,UGA
Ukraine,21,63,UKR
UAE,43,0,ARE
UnitedKingdom,155,101,GBR
UnitedStates,161,137,USA
Uruguay,26,17,URY
Uzbekistan,29,1,UZB
Vanuatu,4,9,VUT
Venezuela,49,27,VEN
Vietnam,25,52,VNM
WestBankandGaza,11,24,PSE
Yemen,5,36,YEM
Zambia,18,15,ZMB
Zimbabwe,7,28,ZWE
